,video_name,tag
152,/content/drive/MyDrive/project/trainn//Seizure/007.mp4,Seizure
153,/content/drive/MyDrive/project/trainn//Seizure/008.mp4,Seizure
154,/content/drive/MyDrive/project/trainn//Seizure/009.mp4,Seizure
155,/content/drive/MyDrive/project/trainn//Seizure/010.mp4,Seizure
156,/content/drive/MyDrive/project/trainn//Seizure/011.mp4,Seizure
157,/content/drive/MyDrive/project/trainn//Seizure/012.mp4,Seizure
158,/content/drive/MyDrive/project/trainn//Seizure/013.mp4,Seizure
159,/content/drive/MyDrive/project/trainn//Seizure/014.mp4,Seizure
160,/content/drive/MyDrive/project/trainn//Seizure/015.mp4,Seizure
161,/content/drive/MyDrive/project/trainn//Seizure/016.mp4,Seizure
162,/content/drive/MyDrive/project/trainn//Seizure/017.mp4,Seizure
163,/content/drive/MyDrive/project/trainn//Seizure/018.mp4,Seizure
164,/content/drive/MyDrive/project/trainn//Seizure/019.mp4,Seizure
165,/content/drive/MyDrive/project/trainn//Seizure/020.mp4,Seizure
166,/content/drive/MyDrive/project/trainn//Seizure/021.mp4,Seizure
167,/content/drive/MyDrive/project/trainn//Seizure/022.mp4,Seizure
168,/content/drive/MyDrive/project/trainn//Seizure/023.mp4,Seizure
169,/content/drive/MyDrive/project/trainn//Seizure/024.mp4,Seizure
170,/content/drive/MyDrive/project/trainn//Seizure/025.mp4,Seizure
171,/content/drive/MyDrive/project/trainn//Seizure/026.mp4,Seizure
172,/content/drive/MyDrive/project/trainn//Seizure/027.mp4,Seizure
173,/content/drive/MyDrive/project/trainn//Seizure/Greyscale,Seizure
174,/content/drive/MyDrive/project/trainn//Incoordination/001.mp4,Incoordination
175,/content/drive/MyDrive/project/trainn//Incoordination/002.mp4,Incoordination
176,/content/drive/MyDrive/project/trainn//Incoordination/003.mp4,Incoordination
177,/content/drive/MyDrive/project/trainn//Incoordination/004.mp4,Incoordination
178,/content/drive/MyDrive/project/trainn//Incoordination/005.mp4,Incoordination
179,/content/drive/MyDrive/project/trainn//Incoordination/006.mp4,Incoordination
180,/content/drive/MyDrive/project/trainn//Incoordination/007.mp4,Incoordination
181,/content/drive/MyDrive/project/trainn//Incoordination/008.mp4,Incoordination
182,/content/drive/MyDrive/project/trainn//Incoordination/009.mp4,Incoordination
183,/content/drive/MyDrive/project/trainn//Incoordination/010.mp4,Incoordination
184,/content/drive/MyDrive/project/trainn//Incoordination/011.mp4,Incoordination
185,/content/drive/MyDrive/project/trainn//Incoordination/012.mp4,Incoordination
186,/content/drive/MyDrive/project/trainn//Incoordination/013.mp4,Incoordination
187,/content/drive/MyDrive/project/trainn//Incoordination/014.mp4,Incoordination
188,/content/drive/MyDrive/project/trainn//Incoordination/015.mp4,Incoordination
189,/content/drive/MyDrive/project/trainn//Incoordination/016.mp4,Incoordination
190,/content/drive/MyDrive/project/trainn//Incoordination/017.mp4,Incoordination
191,/content/drive/MyDrive/project/trainn//Incoordination/018.mp4,Incoordination
192,/content/drive/MyDrive/project/trainn//Incoordination/021.mp4,Incoordination
193,/content/drive/MyDrive/project/trainn//Incoordination/019.mp4,Incoordination
194,/content/drive/MyDrive/project/trainn//Incoordination/020.mp4,Incoordination
195,/content/drive/MyDrive/project/trainn//Incoordination/022.mp4,Incoordination
196,/content/drive/MyDrive/project/trainn//Incoordination/Greyscale,Incoordination
197,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/005.mp4,Dropped Jaw & Tongue
198,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/006.mp4,Dropped Jaw & Tongue
199,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/003.mp4,Dropped Jaw & Tongue
200,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/004.mp4,Dropped Jaw & Tongue
201,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/001.mp4,Dropped Jaw & Tongue
202,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/002.mp4,Dropped Jaw & Tongue
203,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/007.mp4,Dropped Jaw & Tongue
204,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/008.mp4,Dropped Jaw & Tongue
205,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/010.mp4,Dropped Jaw & Tongue
206,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/009.mp4,Dropped Jaw & Tongue
207,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/014.mp4,Dropped Jaw & Tongue
208,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/016.mp4,Dropped Jaw & Tongue
209,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/015.mp4,Dropped Jaw & Tongue
210,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/011.mp4,Dropped Jaw & Tongue
211,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/012.mp4,Dropped Jaw & Tongue
212,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/013.mp4,Dropped Jaw & Tongue
213,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/017.mp4,Dropped Jaw & Tongue
214,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/018.mp4,Dropped Jaw & Tongue
215,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/019.mp4,Dropped Jaw & Tongue
216,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/021.mp4,Dropped Jaw & Tongue
217,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/020.mp4,Dropped Jaw & Tongue
218,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/022.mp4,Dropped Jaw & Tongue
219,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/023.mp4,Dropped Jaw & Tongue
220,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/024.mp4,Dropped Jaw & Tongue
221,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/026.mp4,Dropped Jaw & Tongue
222,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/027.mp4,Dropped Jaw & Tongue
223,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/028.mp4,Dropped Jaw & Tongue
224,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/029.mp4,Dropped Jaw & Tongue
225,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/030.mp4,Dropped Jaw & Tongue
226,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/031.mp4,Dropped Jaw & Tongue
227,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/032.mp4,Dropped Jaw & Tongue
228,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/033.mp4,Dropped Jaw & Tongue
229,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/034.mp4,Dropped Jaw & Tongue
230,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/035.mp4,Dropped Jaw & Tongue
231,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/041.mp4,Dropped Jaw & Tongue
232,/content/drive/MyDrive/project/trainn//Dropped Jaw & Tongue/Greyscale,Dropped Jaw & Tongue
